,station,station Latitude,station Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Adachi-Odai Station,35.754677799999996,139.770387876573,オーケーストア 足立小台店,35.75524266730975,139.76845577001015,Supermarket
1,Adachi-Odai Station,35.754677799999996,139.770387876573,MOS Burger (モスバーガー 島忠足立小台店),35.75521914849561,139.7681329620261,Fast Food Restaurant
2,Adachi-Odai Station,35.754677799999996,139.770387876573,K's Denki (ケーズデンキ 足立店),35.754658,139.770932,Electronics Store
3,Adachi-Odai Station,35.754677799999996,139.770387876573,荒川土手,35.75608498028633,139.770167444924,Trail
4,Adachi-Odai Station,35.754677799999996,139.770387876573,扇大橋南交差点,35.75553284899445,139.77027118206024,Intersection
5,Adachi-Odai Station,35.754677799999996,139.770387876573,らーめん蔵芸 足立小台店,35.75521952344974,139.7683305576279,Ramen Restaurant
6,Aihara Station,35.6068781,139.331679970105,Aihara Station (相原駅),35.60651474492544,139.33174781812303,Train Station
7,Aihara Station,35.6068781,139.331679970105,Lawson Three F (ローソン・スリーエフ 町田相原駅前店),35.606489,139.331913,Convenience Store
8,Aihara Station,35.6068781,139.331679970105,Lawson (ローソン 町田相原駅西口店),35.60688,139.331295,Convenience Store
9,Aihara Station,35.6068781,139.331679970105,7-Eleven (セブンイレブン 町田相原駅南店),35.60485711272977,139.3322503566742,Convenience Store
10,Aihara Station,35.6068781,139.331679970105,Ogino Pan (オギノパン),35.606915,139.331072,Bakery
11,Aihara Station,35.6068781,139.331679970105,Platform 2 (2番線ホーム),35.605405,139.331413,Platform
12,Aihara Station,35.6068781,139.331679970105,まいど 相原店,35.60654,139.332036,Sake Bar
13,Aihara Station,35.6068781,139.331679970105,相原駅西口 バスターミナル,35.606463508163095,139.3315349227496,Bus Station
14,Aihara Station,35.6068781,139.331679970105,Platform 1 (1番線ホーム),35.605405,139.331413,Platform
15,Aihara Station,35.6068781,139.331679970105,相原 バス停,35.60469216444642,139.33085894003707,Bus Stop
16,Aihara Station,35.6068781,139.331679970105,Inageya (いなげや ina21町田相原駅前店),35.604625950370774,139.33112382888794,Supermarket
17,Aihara Station,35.6068781,139.331679970105,相原駅入口 交差点,35.604607649114314,139.33305098188504,Intersection
18,Akabane Station,35.7781394,139.7207999,Maruken Suisan (丸健水産),35.78001,139.720831,Sake Bar
19,Akabane Station,35.7781394,139.7207999,立ち飲み いこい 本店,35.778348,139.721883,Sake Bar
20,Akabane Station,35.7781394,139.7207999,Marumasuya (まるます家 総本店),35.7800138110115,139.72057919773826,Unagi Restaurant
21,Akabane Station,35.7781394,139.7207999,立ち飲み いこい 支店,35.776921,139.722489,Sake Bar
22,Akabane Station,35.7781394,139.7207999,Kakujo Gyorui (角上魚類 赤羽店),35.779835,139.71933,Fish Market
23,Akabane Station,35.7781394,139.7207999,Maruyoshi (まるよし),35.778218,139.721503,Sake Bar
24,Akabane Station,35.7781394,139.7207999,川栄,35.7801004,139.7201307,Japanese Restaurant
25,Akabane Station,35.7781394,139.7207999,神保町食肉センター 赤羽店,35.77820036653765,139.72207034084042,BBQ Joint
26,Akabane Station,35.7781394,139.7207999,Felts,35.777571784178136,139.72103945850566,Bakery
27,Akabane Station,35.7781394,139.7207999,昔ながらの喫茶店 友路有 赤羽店,35.778208,139.721213,Tea Room
28,Akabane Station,35.7781394,139.7207999,Gong cha 貢茶,35.778722,139.720377,Bubble Tea Shop
29,Akabane Station,35.7781394,139.7207999,Aka-Baru Retze (赤バル RETZE),35.779538871379565,139.72123235464096,Bar
30,Akabane Station,35.7781394,139.7207999,赤羽 トロ函,35.779954,139.720477,Sake Bar
31,Akabane Station,35.7781394,139.7207999,Ito (自家製麺 伊藤),35.778266,139.721495,Ramen Restaurant
32,Akabane Station,35.7781394,139.7207999,Yanaka Coffee (やなか珈琲店),35.777314261671506,139.72114208186738,Coffee Shop
33,Akabane Station,35.7781394,139.7207999,もつ焼 のんき 赤羽店,35.7801051,139.7201301,Sake Bar
34,Akabane Station,35.7781394,139.7207999,昔ながらの喫茶店 友路有 赤羽2号店,35.779443,139.721982,Tea Room
35,Akabane Station,35.7781394,139.7207999,Natsumi (麺処 夏海),35.7796841140857,139.7200966399026,Ramen Restaurant
36,Akabane Station,35.7781394,139.7207999,Beans Akabane (ビーンズ赤羽),35.77764899044025,139.7212940454483,Shopping Mall
37,Akabane Station,35.7781394,139.7207999,いくどん 赤羽店,35.77985125932696,139.72105463569014,BBQ Joint
38,Akabane Station,35.7781394,139.7207999,生鮮食品館 FUJI GARDEN 赤羽店,35.77919976622439,139.71940248533053,Grocery Store
39,Akabane Station,35.7781394,139.7207999,Daiso (ダイソー LaLaガーデン赤羽店),35.779294732803265,139.72341298889145,Discount Store
40,Akabane Station,35.7781394,139.7207999,きんの蔵,35.779554,139.721579,Sake Bar
41,Akabane Station,35.7781394,139.7207999,桜商店603,35.777706,139.722066,Sake Bar
42,Akabane Station,35.7781394,139.7207999,Bar NacaNaca (麦酒酒場 Bar NakaNaka),35.780349,139.720013,Italian Restaurant
