,station,station Latitude,station Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Adachi-Odai Station,35.754677799999996,139.770387876573,オーケーストア 足立小台店,35.75524266730975,139.76845577001015,Supermarket
1,Adachi-Odai Station,35.754677799999996,139.770387876573,MOS Burger (モスバーガー 島忠足立小台店),35.75521914849561,139.7681329620261,Fast Food Restaurant
2,Adachi-Odai Station,35.754677799999996,139.770387876573,洋食レストラン 山惣(やまそう),35.75081259505881,139.76888234419815,Restaurant
3,Adachi-Odai Station,35.754677799999996,139.770387876573,K's Denki (ケーズデンキ 足立店),35.75470084688904,139.77053046543182,Electronics Store
4,Adachi-Odai Station,35.754677799999996,139.770387876573,荒川土手,35.75608498028633,139.770167444924,Trail
5,Adachi-Odai Station,35.754677799999996,139.770387876573,らーめん蔵芸 足立小台店,35.75521952344974,139.7683305576279,Ramen Restaurant
6,Adachi-Odai Station,35.754677799999996,139.770387876573,島忠 ホームズ 足立小台店,35.755269973780486,139.76845077349054,Furniture / Home Store
7,Adachi-Odai Station,35.754677799999996,139.770387876573,Plusone ホームズ足立小台店,35.75535398213394,139.76831539675888,Shoe Repair
8,Aihara Station,35.6068781,139.331679970105,Aihara Station (相原駅),35.60651474492544,139.33174781812303,Train Station
9,Aihara Station,35.6068781,139.331679970105,Lawson Three F (ローソン・スリーエフ 町田相原駅前店),35.606674056646,139.33195111447782,Convenience Store
10,Aihara Station,35.6068781,139.331679970105,Lawson (ローソン 町田相原駅西口店),35.60672880640815,139.3312960832066,Convenience Store
11,Aihara Station,35.6068781,139.331679970105,7-Eleven (セブンイレブン 町田相原駅南店),35.60485711272977,139.3322503566742,Convenience Store
12,Aihara Station,35.6068781,139.331679970105,Saizeriya (サイゼリヤ 町田相原店),35.604468682624486,139.3296807571423,Italian Restaurant
13,Aihara Station,35.6068781,139.331679970105,相原駅西口バスターミナル 1番のりば,35.60646811039125,139.33153489775137,Bus Stop
14,Aihara Station,35.6068781,139.331679970105,Ogino Pan (オギノパン),35.606915,139.331072,Bakery
15,Aihara Station,35.6068781,139.331679970105,庄や 相原駅前店,35.606658411630505,139.33222889900208,Sake Bar
16,Aihara Station,35.6068781,139.331679970105,Platform 2 (2番線ホーム),35.606423847510165,139.331452752332,Platform
17,Aihara Station,35.6068781,139.331679970105,まいど 相原店,35.60669913568094,139.33194799806972,Sake Bar
18,Aihara Station,35.6068781,139.331679970105,相原駅西口 バスターミナル,35.606463508163095,139.3315349227496,Bus Station
19,Aihara Station,35.6068781,139.331679970105,Platform 1 (1番線ホーム),35.606847359530775,139.33168721331091,Platform
20,Aihara Station,35.6068781,139.331679970105,Inageya (いなげや ina21町田相原駅前店),35.604625950370774,139.33112382888794,Supermarket
21,Aihara Station,35.6068781,139.331679970105,相原駅入口 交差点,35.604607649114314,139.33305098188504,Intersection
22,Aihara Station,35.6068781,139.331679970105,花のやまフィールドアーチェリー,35.609047690172325,139.3358984736598,Stadium
23,Aihara Station,35.6068781,139.331679970105,諏訪神社入口 交差点,35.604722,139.327119,Intersection
24,Akabane Station,35.7781394,139.7207999,Marumasuya (まるます家 総本店),35.7800138110115,139.72057919773826,Unagi Restaurant
25,Akabane Station,35.7781394,139.7207999,立ち飲み いこい 本店,35.77833956469018,139.72201285529323,Sake Bar
26,Akabane Station,35.7781394,139.7207999,Maruken Suisan (丸健水産),35.78009100357416,139.72083482622043,Sake Bar
27,Akabane Station,35.7781394,139.7207999,Kakujo Gyorui (角上魚類 赤羽店),35.77935795359236,139.71928385029756,Fish Market
28,Akabane Station,35.7781394,139.7207999,立ち飲み いこい 支店,35.77708038836561,139.7223897467306,Sake Bar
29,Akabane Station,35.7781394,139.7207999,Maruyoshi (まるよし),35.778424418385164,139.72133155511503,Sake Bar
30,Akabane Station,35.7781394,139.7207999,川栄,35.7801004,139.7201307,Japanese Restaurant
31,Akabane Station,35.7781394,139.7207999,神保町食肉センター 赤羽店,35.77820036653765,139.72207034084042,BBQ Joint
32,Akabane Station,35.7781394,139.7207999,Felts,35.777571784178136,139.72103945850566,Bakery
33,Akabane Station,35.7781394,139.7207999,昔ながらの喫茶店 友路有 赤羽店,35.778208,139.721213,Tea Room
34,Akabane Station,35.7781394,139.7207999,Gong cha 貢茶,35.777476,139.721185,Bubble Tea Shop
35,Akabane Station,35.7781394,139.7207999,Aka-Baru Retze (赤バル RETZE),35.779538871379565,139.72123235464096,Bar
36,Akabane Station,35.7781394,139.7207999,赤羽 トロ函,35.779909293390645,139.7205963042844,Sake Bar
37,Akabane Station,35.7781394,139.7207999,Ito (自家製麺 伊藤),35.778266,139.721495,Ramen Restaurant
38,Akabane Station,35.7781394,139.7207999,Yanaka Coffee (やなか珈琲店),35.777314261671506,139.72114208186738,Coffee Shop
39,Akabane Station,35.7781394,139.7207999,もつ焼 のんき 赤羽店,35.7801051,139.7201301,Sake Bar
40,Akabane Station,35.7781394,139.7207999,Yoneyama (米山),35.78191810824417,139.71878319604832,Sake Bar
